tool_name,tool_url,article_title,article_location,article_year,article_doi,number_of_citations (google 2022),brazilian_qualis_cc,jcr_2016_2020,article_abstract
3DBIONOTES v3.0,https://3dbionotes.cnb.csic.es/,3DBIONOTES v3.0: crossing molecular and structural biology data with genomic variations,Bioinformatics,2019,https://doi.org/10.1093/bioinformatics/btz118,8,A1,8470,"Motivation
Many diseases are associated to single nucleotide polymorphisms that affect critical regions of proteins as binding sites or post translational modifications. Therefore, analysing genomic variants with structural and molecular biology data is a powerful framework in order to elucidate the potential causes of such diseases.
Results
A new version of our web framework 3DBIONOTES is presented. This version offers new tools to analyse and visualize protein annotations and genomic variants, including a contingency analysis of variants and amino acid features by means of a Fisher exact test, the integration of a gene annotation viewer to highlight protein features on gene sequences and a protein–protein interaction viewer to display protein annotations at network level.
Availability and implementation
The web server is available at https://3dbionotes.cnb.csic.es
Supplementary information
Supplementary data are available at Bioinformatics online.
Contact
Spanish National Institute for Bioinformatics (INB ELIXIR-ES) and Biocomputing Unit, National Centre of Biotechnology (CSIC)/Instruct Image Processing Centre, C/ Darwin nº 3, Campus of Cantoblanco, 28049 Madrid, Spain."
3DGB,http://3dgb.cs.mcgill.ca/,"A low-latency, big database system and browser for storage, querying and visualization of 3D genomic data",Nucleic Acids Research,2015,https://doi.org/10.1093/nar/gkv476,11,B2,15542,"Recent releases of genome three-dimensional (3D) structures have the potential to transform our understanding of genomes. Nonetheless, the storage technology and visualization tools need to evolve to offer to the scientific community fast and convenient access to these data. We introduce simultaneously a database system to store and query 3D genomic data (3DBG), and a 3D genome browser to visualize and explore 3D genome structures (3DGB). We benchmark 3DBG against state-of-the-art systems and demonstrate that it is faster than previous solutions, and importantly gracefully scales with the size of data. We also illustrate the usefulness of our 3D genome Web browser to explore human genome structures. The 3D genome browser is available at http://3dgb.cs.mcgill.ca/."
ActiveDriverDB,https://www.activedriverdb.org/,ActiveDriverDB: human disease mutations and genome variation in post-translational modification sites of proteins,Nucleic Acids Research,2018,https://doi.org/10.1093/nar/gkx973,53,B2,15542,"Interpretation of genetic variation is needed for deciphering genotype-phenotype associations, mechanisms of inherited disease, and cancer driver mutations. Millions of single nucleotide variants (SNVs) in human genomes are known and thousands are associated with disease. An estimated 21% of disease-associated amino acid substitutions corresponding to missense SNVs are located in protein sites of post-translational modifications (PTMs), chemical modifications of amino acids that extend protein function. ActiveDriverDB is a comprehensive human proteo-genomics database that annotates disease mutations and population variants through the lens of PTMs. We integrated >385,000 published PTM sites with ∼3.6 million substitutions from The Cancer Genome Atlas (TCGA), the ClinVar database of disease genes, and human genome sequencing projects. The database includes site-specific interaction networks of proteins, upstream enzymes such as kinases, and drugs targeting these enzymes. We also predicted network-rewiring impact of mutations by analyzing gains and losses of kinase-bound sequence motifs. ActiveDriverDB provides detailed visualization, filtering, browsing and searching options for studying PTM-associated mutations. Users can upload mutation datasets interactively and use our application programming interface in pipelines. Integrative analysis of mutations and PTMs may help decipher molecular mechanisms of phenotypes and disease, as exemplified by case studies of TP53, BRCA2 and VHL. The open-source database is available at https://www.ActiveDriverDB.org."
AggreRATE-Pred,http://www.iitm.ac.in/bioinfo/aggrerate-pred/,AggreRATE-Pred: a mathematical model for the prediction of change in aggregation rate upon point mutation,Bioinformatics,2020,https://doi.org/10.1093/bioinformatics/btz764,11,A1,8470,"Motivation
Protein aggregation is a major unsolved problem in biochemistry with implications for several human diseases, biotechnology and biomaterial sciences. A majority of sequence-structural properties known for their mechanistic roles in protein aggregation do not correlate well with the aggregation kinetics. This limits the practical utility of predictive algorithms.
Results
We analyzed experimental data on 183 unique single point mutations that lead to change in aggregation rates for 23 polypeptides and proteins. Our initial mathematical model obtained a correlation coefficient of 0.43 between predicted and experimental change in aggregation rate upon mutation (P-value <0.0001). However, when the dataset was classified based on protein length and conformation at the mutation sites, the average correlation coefficient almost doubled to 0.82 (range: 0.74–0.87; P-value <0.0001). We observed that distinct sequence and structure-based properties determine protein aggregation kinetics in each class. In conclusion, the protein aggregation kinetics are impacted by local factors and not by global ones, such as overall three-dimensional protein fold, or mechanistic factors such as the presence of aggregation-prone regions.
Availability and implementation
The web server is available at http://www.iitm.ac.in/bioinfo/aggrerate-pred/.
Supplementary information
Supplementary data are available at Bioinformatics online."
AGGRESCAN,http://bioinf.uab.es/aggrescan/,"AGGRESCAN: a server for the prediction and evaluation of ""hot spots"" of aggregation in polypeptides",BMC Bioinformatics,2007,https://doi.org/10.1186/1471-2105-8-65,847,A1,3629,"Background
Protein aggregation correlates with the development of several debilitating human disorders of growing incidence, such as Alzheimer's and Parkinson's diseases. On the biotechnological side, protein production is often hampered by the accumulation of recombinant proteins into aggregates. Thus, the development of methods to anticipate the aggregation properties of polypeptides is receiving increasing attention. AGGRESCAN is a web-based software for the prediction of aggregation-prone segments in protein sequences, the analysis of the effect of mutations on protein aggregation propensities and the comparison of the aggregation properties of different proteins or protein sets.
Results
AGGRESCAN is based on an aggregation-propensity scale for natural amino acids derived from in vivo experiments and on the assumption that short and specific sequence stretches modulate protein aggregation. The algorithm is shown to identify a series of protein fragments involved in the aggregation of disease-related proteins and to predict the effect of genetic mutations on their deposition propensities. It also provides new insights into the differential aggregation properties displayed by globular proteins, natively unfolded polypeptides, amyloidogenic proteins and proteins found in bacterial inclusion bodies.
Conclusion
By identifying aggregation-prone segments in proteins, AGGRESCAN http://bioinf.uab.es/aggrescan/ shall facilitate (i) the identification of possible therapeutic targets for anti-depositional strategies in conformational diseases and (ii) the anticipation of aggregation phenomena during storage or recombinant production of bioactive polypeptides or polypeptide sets."
AGGRESCAN3D,http://biocomp.chem.uw.edu.pl/A3D/,AGGRESCAN3D (A3D): server for prediction of aggregation properties of protein structures,Nucleic Acids Research,2015,https://doi.org/10.1093/nar/gkv359,172,B2,15542,"Protein aggregation underlies an increasing number of disorders and constitutes a major bottleneck in the development of therapeutic proteins. Our present understanding on the molecular determinants of protein aggregation has crystalized in a series of predictive algorithms to identify aggregation-prone sites. A majority of these methods rely only on sequence. Therefore, they find difficulties to predict the aggregation properties of folded globular proteins, where aggregation-prone sites are often not contiguous in sequence or buried inside the native structure. The AGGRESCAN3D (A3D) server overcomes these limitations by taking into account the protein structure and the experimental aggregation propensity scale from the well-established AGGRESCAN method. Using the A3D server, the identified aggregation-prone residues can be virtually mutated to design variants with increased solubility, or to test the impact of pathogenic mutations. Additionally, A3D server enables to take into account the dynamic fluctuations of protein structure in solution, which may influence aggregation propensity. This is possible in A3D Dynamic Mode that exploits the CABS-flex approach for the fast simulations of flexibility of globular proteins. The A3D server can be accessed at http://biocomp.chem.uw.edu.pl/A3D/."
AIMMS suite,https://www.ncbi.nlm.nih.gov/nuccore/http://chemyang.ccnu.edu.cn/ccb/server/AIMMS/,AIMMS suite: a web server dedicated for prediction of drug resistance on protein mutation,Briefings in Bioinformatics,2020,https://doi.org/10.1093/bib/bby113,34,A1,10288,"Drug resistance is one of the most intractable issues for successful treatment in current clinical practice. Although many mutations contributing to drug resistance have been identified, the relationship between the mutations and the related pharmacological profile of drug candidates has yet to be fully elucidated, which is valuable both for the molecular dissection of drug resistance mechanisms and for suggestion of promising treatment strategies to counter resistant. Hence, effective prediction approach for estimating the sensitivity of mutations to agents is a new opportunity that counters drug resistance and creates a high interest in pharmaceutical research. However, this task is always hampered by limited known resistance training samples and accurately estimation of binding affinity. Upon this challenge, we successfully developed Auto In Silico Macromolecular Mutation Scanning (AIMMS), a web server for computer-aided de novo drug resistance prediction for any ligand–protein systems. AIMMS can qualitatively estimate the free energy consequences of any mutations through a fast mutagenesis scanning calculation based on a single molecular dynamics trajectory, which is differentiated with other web services by a statistical learning system. AIMMS suite is available at http://chemyang.ccnu.edu.cn/ccb/server/AIMMS/."
Align-GVGD,http://agvgd.iarc.fr/,Computational approaches for predicting the biological effect of p53 missense mutations: a comparison of three sequence analysis based methods,Nucleic Acids Research,2006,https://doi.org/10.1093/nar/gkj518,350,B2,15542,"Prediction of the biological effect of missense substitutions has become important because they are often observed in known or candidate disease susceptibility genes. In this paper, we carried out a 3-step analysis of 1514 missense substitutions in the DNA-binding domain (DBD) of TP53, the most frequently mutated gene in human cancers. First, we calculated two types of conservation scores based on a TP53 multiple sequence alignment (MSA) for each substitution: (i) Grantham Variation (GV), which measures the degree of biochemical variation among amino acids found at a given position in the MSA; (ii) Grantham Deviation (GD), which reflects the ‘biochemical distance’ of the mutant amino acid from the observed amino acid at a particular position (given by GV). Second, we used a method that combines GV and GD scores, Align-GVGD, to predict the transactivation activity of each missense substitution. We compared our predictions against experimentally measured transactivation activity (yeast assays) to evaluate their accuracy. Finally, the prediction results were compared with those obtained by the program Sorting Intolerant from Tolerant (SIFT) and Dayhoff's classification. Our predictions yielded high prediction accuracy for mutants showing a loss of transactivation (∼88% specificity) with lower prediction accuracy for mutants with transactivation similar to that of the wild-type (67.9 to 71.2% sensitivity). Align-GVGD results were comparable to SIFT (88.3 to 90.6% and 67.4 to 70.3% specificity and sensitivity, respectively) and outperformed Dayhoff's classification (80 and 40.9% specificity and sensitivity, respectively). These results further demonstrate the utility of the Align-GVGD method, which was previously applied to BRCA1. Align-GVGD is available online at http://agvgd.iarc.fr."
AlloSigMA 2,http://allosigma.bii.a-star.edu.sg/,AlloSigMA 2: paving the way to designing allosteric effectors and to exploring allosteric effects of mutations,Nucleic Acids Research,2020,https://doi.org/10.1093/nar/gkaa338,31,B2,15542,"The AlloSigMA 2 server provides an interactive platform for exploring the allosteric signaling caused by ligand binding and/or mutations, for analyzing the allosteric effects of mutations and for detecting potential cancer drivers and pathogenic nsSNPs. It can also be used for searching latent allosteric sites and for computationally designing allosteric effectors for these sites with required agonist/antagonist activity. The server is based on the implementation of the Structure-Based Statistical Mechanical Model of Allostery (SBSMMA), which allows one to evaluate the allosteric free energy as a result of the perturbation at per-residue resolution. The Allosteric Signaling Map (ASM) providing a comprehensive residue-by-residue allosteric control over the protein activity can be obtained for any structure of interest. The Allosteric Probing Map (APM), in turn, allows one to perform the fragment-based-like computational design experiment aimed at finding leads for potential allosteric effectors. The server can be instrumental in elucidating of allosteric mechanisms and actions of allosteric mutations, and in the efforts on design of new elements of allosteric control. The server is freely available at: http://allosigma.bii.a-star.edu.sg"
AMYLPRED2,http://biophysics.biol.uoa.gr/AMYLPRED2,A Consensus Method for the Prediction of ‘Aggregation-Prone’ Peptides in Globular Proteins,PLOS ONE,2013,https://doi.org/10.1371/journal.pone.0054175,257,B2,3788,"The purpose of this work was to construct a consensus prediction algorithm of ‘aggregation-prone’ peptides in globular proteins, combining existing tools. This allows comparison of the different algorithms and the production of more objective and accurate results. Eleven (11) individual methods are combined and produce AMYLPRED2, a publicly, freely available web tool to academic users (http://biophysics.biol.uoa.gr/AMYLPRED2), for the consensus prediction of amyloidogenic determinants/‘aggregation-prone’ peptides in proteins, from sequence alone. The performance of AMYLPRED2 indicates that it functions better than individual aggregation-prediction algorithms, as perhaps expected. AMYLPRED2 is a useful tool for identifying amyloid-forming regions in proteins that are associated with several conformational diseases, called amyloidoses, such as Altzheimer's, Parkinson's, prion diseases and type II diabetes. It may also be useful for understanding the properties of protein folding and misfolding and for helping to the control of protein aggregation/solubility in biotechnology (recombinant proteins forming bacterial inclusion bodies) and biotherapeutics (monoclonal antibodies and biopharmaceutical proteins)."
